Result, Test Name, Power Priority, Power Level, Iteration, Var MSA, Dataset File,Point Result, Var Actual, Var Target, Var Min Allowed, Var Max Allowed
, , , , , , , Pass, 636.139, 900.0, 500.0, 1300.0
Fail, VV_2_66_down_3, Reactive, 66.0, 5, 400.0, VV_2_66_down_3.csv, , , , , 
, , , , , , , Pass, 642.054, 900.0, 500.0, 1300.0
, , , , , , , Pass, 640.996, 900.0, 500.0, 1300.0
, , , , , , , Pass, 639.903, 900.0, 500.0, 1300.0
, , , , , , , Fail, -173.014, 891.7, 116.7, 1300.0
, , , , , , , Fail, -171.904, 671.2, -103.8, 1300.0
, , , , , , , Pass, -165.395, 461.6, -313.4, 1236.6
, , , , , , , Pass, -171.955, 224.2, -400.0, 999.2
, , , , , , , Pass, -170.895, 0.0, -400.0, 772.0
, , , , , , , Pass, -181.08, 0.0, -400.0, 400.0
, , , , , , , Pass, -174.94, 0.0, -400.0, 400.0
, , , , , , , Fail, -534.386, 0.0, -400.0, 400.0
, , , , , , , Fail, -970.511, 0.0, -704.9, 400.0
, , , , , , , Fail, -967.771, -180.4, -955.4, 400.0
, , , , , , , Pass, -970.606, -382.5, -1157.5, 392.5
, , , , , , , Pass, -974.773, -613.9, -1300.0, 161.1
, , , , , , , Pass, -966.175, -833.6, -1300.0, -58.6
, , , , , , , Pass, -978.595, -900.0, -1300.0, -500.0
, , , , , , , Pass, -980.514, -900.0, -1300.0, -500.0
, , , , , , , Pass, -985.342, -900.0, -1300.0, -500.0
Fail, VV_2_66_up_3, Reactive, 66.0, 5, 400.0, VV_2_66_up_3.csv, , , , , 
, , , , , , , Pass, -991.76, -900.0, -1300.0, -500.0
, , , , , , , Pass, -987.859, -900.0, -1300.0, -500.0
, , , , , , , Pass, -981.127, -900.0, -1300.0, -500.0
, , , , , , , Pass, -972.649, -843.7, -1300.0, -68.7
, , , , , , , Pass, -975.022, -620.2, -1300.0, 154.8
, , , , , , , Pass, -974.699, -397.1, -1172.1, 377.9
, , , , , , , Fail, -964.391, -164.6, -939.6, 400.0
, , , , , , , Fail, -970.347, 0.0, -724.7, 400.0
, , , , , , , Fail, -538.34, 0.0, -400.0, 400.0
, , , , , , , Pass, -175.576, 0.0, -400.0, 400.0
, , , , , , , Pass, -177.178, 0.0, -400.0, 400.0
, , , , , , , Pass, -171.138, 0.0, -400.0, 758.9
, , , , , , , Pass, -172.216, 195.0, -400.0, 970.0
, , , , , , , Pass, -173.499, 441.4, -333.6, 1216.4
, , , , , , , Fail, -177.111, 663.0, -112.0, 1300.0
, , , , , , , Fail, -170.225, 875.6, 100.6, 1300.0
, , , , , , , Pass, 635.028, 900.0, 500.0, 1300.0
, , , , , , , Pass, 639.043, 900.0, 500.0, 1300.0
, , , , , , , Pass, 641.587, 900.0, 500.0, 1300.0
Fail, VV_2_66_down_4, Reactive, 66.0, 5, 400.0, VV_2_66_down_4.csv, , , , , 
, , , , , , , Pass, 645.268, 900.0, 500.0, 1300.0
, , , , , , , Pass, 637.26, 900.0, 500.0, 1300.0
, , , , , , , Pass, 638.066, 900.0, 500.0, 1300.0
, , , , , , , Fail, -171.466, 879.4, 104.4, 1300.0
, , , , , , , Fail, -180.597, 657.7, -117.3, 1300.0
, , , , , , , Pass, -172.808, 445.9, -329.1, 1220.9
, , , , , , , Pass, -174.304, 215.6, -400.0, 990.6
, , , , , , , Pass, -170.851, 0.0, -400.0, 767.1
, , , , , , , Pass, -177.371, 0.0, -400.0, 400.0
, , , , , , , Pass, -180.075, 0.0, -400.0, 400.0
, , , , , , , Fail, -533.417, 0.0, -400.0, 400.0
, , , , , , , Fail, -971.355, 0.0, -737.9, 400.0
, , , , , , , Pass, -964.559, -193.1, -968.1, 400.0
, , , , , , , Pass, -974.603, -411.7, -1186.7, 363.3
, , , , , , , Pass, -971.927, -638.6, -1300.0, 136.4
, , , , , , , Pass, -975.229, -864.4, -1300.0, -89.4
, , , , , , , Pass, -983.984, -900.0, -1300.0, -500.0
, , , , , , , Pass, -985.657, -900.0, -1300.0, -500.0
, , , , , , , Pass, -990.08, -900.0, -1300.0, -500.0
Fail, VV_2_66_up_4, Reactive, 66.0, 5, 400.0, VV_2_66_up_4.csv, , , , , 
, , , , , , , Pass, -988.665, -900.0, -1300.0, -500.0
, , , , , , , Pass, -983.889, -900.0, -1300.0, -500.0
, , , , , , , Pass, -974.556, -900.0, -1300.0, -500.0
, , , , , , , Pass, -968.275, -834.4, -1300.0, -59.4
, , , , , , , Pass, -980.245, -605.2, -1300.0, 169.8
, , , , , , , Pass, -968.513, -390.0, -1165.0, 385.0
, , , , , , , Fail, -973.236, -151.9, -926.9, 400.0
, , , , , , , Fail, -971.494, 0.0, -721.0, 400.0
, , , , , , , Fail, -560.816, 0.0, -400.0, 400.0
, , , , , , , Pass, -178.441, 0.0, -400.0, 400.0
, , , , , , , Pass, -176.636, 0.0, -400.0, 400.0
, , , , , , , Pass, -170.482, 21.0, -400.0, 796.0
, , , , , , , Pass, -180.014, 237.0, -400.0, 1012.0
, , , , , , , Pass, -165.202, 456.4, -318.6, 1231.4
, , , , , , , Fail, -178.914, 694.9, -80.1, 1300.0
, , , , , , , Fail, -166.65, 900.0, 137.0, 1300.0
, , , , , , , Pass, 643.142, 900.0, 500.0, 1300.0
, , , , , , , Pass, 638.921, 900.0, 500.0, 1300.0
, , , , , , , Pass, 642.594, 900.0, 500.0, 1300.0
Fail, VV_2_66_down_5, Reactive, 66.0, 5, 400.0, VV_2_66_down_5.csv, , , , , 
, , , , , , , Pass, 635.937, 900.0, 500.0, 1300.0
, , , , , , , Pass, 637.908, 900.0, 500.0, 1300.0
, , , , , , , Pass, 639.809, 900.0, 500.0, 1300.0
, , , , , , , Fail, -166.214, 894.0, 119.0, 1300.0
, , , , , , , Fail, -177.705, 680.6, -94.4, 1300.0
, , , , , , , Pass, -169.586, 439.9, -335.1, 1214.9
, , , , , , , Pass, -167.878, 228.0, -400.0, 1003.0
, , , , , , , Pass, -173.065, 0.0, -400.0, 762.6
, , , , , , , Pass, -183.023, 0.0, -400.0, 400.0
, , , , , , , Pass, -175.8, 0.0, -400.0, 400.0
, , , , , , , Fail, -536.52, 0.0, -400.0, 400.0
, , , , , , , Fail, -973.759, 0.0, -738.2, 400.0
, , , , , , , Pass, -963.362, -194.2, -969.2, 400.0
, , , , , , , Pass, -967.833, -404.2, -1179.2, 370.8
, , , , , , , Pass, -974.54, -637.5, -1300.0, 137.5
, , , , , , , Pass, -969.57, -865.1, -1300.0, -90.1
, , , , , , , Pass, -979.67, -900.0, -1300.0, -500.0
, , , , , , , Pass, -993.069, -900.0, -1300.0, -500.0
, , , , , , , Pass, -992.895, -900.0, -1300.0, -500.0
Fail, VV_2_66_up_5, Reactive, 66.0, 5, 400.0, VV_2_66_up_5.csv, , , , , 
, , , , , , , Pass, -811.954, -900.0, -1300.0, -500.0
, , , , , , , Pass, -792.903, -900.0, -1300.0, -500.0
, , , , , , , Pass, -791.138, -900.0, -1300.0, -500.0
, , , , , , , Pass, -815.024, -762.4, -1300.0, 12.6
, , , , , , , Pass, -812.223, -559.9, -1300.0, 215.1
, , , , , , , Pass, -800.043, -322.5, -1097.5, 400.0
, , , , , , , Pass, -791.557, -100.1, -875.1, 400.0
, , , , , , , Fail, -783.496, 0.0, -649.7, 400.0
, , , , , , , Pass, -119.103, 0.0, -400.0, 400.0
, , , , , , , Pass, -121.994, 0.0, -400.0, 400.0
, , , , , , , Pass, -114.611, 0.0, -400.0, 400.0
, , , , , , , Pass, -113.866, 85.5, -400.0, 860.5
, , , , , , , Pass, -108.97, 319.9, -400.0, 1094.9
, , , , , , , Pass, -112.815, 541.5, -233.5, 1300.0
, , , , , , , Fail, -108.445, 762.7, -12.3, 1300.0
, , , , , , , Fail, -32.455, 900.0, 227.7, 1300.0
, , , , , , , Pass, 531.209, 900.0, 500.0, 1300.0
, , , , , , , Pass, 532.794, 900.0, 500.0, 1300.0
, , , , , , , Pass, 538.281, 900.0, 500.0, 1300.0
Fail, VV_2_20_down_1, Reactive, 20.0, 3, 400.0, VV_2_20_down_1.csv, , , , , 
, , , , , , , Pass, 531.558, 900.0, 500.0, 1300.0
, , , , , , , Pass, 536.774, 900.0, 500.0, 1300.0
, , , , , , , Pass, 532.58, 900.0, 500.0, 1300.0
, , , , , , , Fail, -47.491, 900.0, 232.6, 1300.0
, , , , , , , Fail, -107.847, 787.5, 12.5, 1300.0
, , , , , , , Pass, -112.53, 569.2, -205.8, 1300.0
, , , , , , , Pass, -108.736, 345.4, -400.0, 1120.4
, , , , , , , Pass, -115.974, 116.6, -400.0, 891.6
, , , , , , , Pass, -113.729, 0.0, -400.0, 400.0
, , , , , , , Pass, -120.906, 0.0, -400.0, 400.0
, , , , , , , Pass, -122.035, 0.0, -400.0, 400.0
, , , , , , , Fail, -783.973, 0.0, -614.1, 400.0
, , , , , , , Pass, -808.709, -67.5, -842.5, 400.0
, , , , , , , Pass, -800.747, -296.2, -1071.2, 400.0
, , , , , , , Pass, -793.441, -518.2, -1293.2, 256.8
, , , , , , , Pass, -810.87, -742.5, -1300.0, 32.5
, , , , , , , Pass, -803.0, -900.0, -1300.0, -500.0
, , , , , , , Pass, -815.546, -900.0, -1300.0, -500.0
, , , , , , , Pass, -820.341, -900.0, -1300.0, -500.0
Fail, VV_2_20_up_1, Reactive, 20.0, 3, 400.0, VV_2_20_up_1.csv, , , , , 
, , , , , , , Pass, -837.806, -900.0, -1300.0, -500.0
, , , , , , , Pass, -814.294, -900.0, -1300.0, -500.0
, , , , , , , Pass, -806.418, -900.0, -1300.0, -500.0
, , , , , , , Pass, -804.35, -756.4, -1300.0, 18.6
, , , , , , , Pass, -792.992, -571.9, -1300.0, 203.1
, , , , , , , Pass, -816.528, -312.7, -1087.7, 400.0
, , , , , , , Pass, -798.298, -81.0, -856.0, 400.0
, , , , , , , Fail, -779.44, 0.0, -662.9, 400.0
, , , , , , , Pass, -117.549, 0.0, -400.0, 400.0
, , , , , , , Pass, -121.596, 0.0, -400.0, 400.0
, , , , , , , Pass, -111.622, 0.0, -400.0, 400.0
, , , , , , , Pass, -117.829, 91.5, -400.0, 866.5
, , , , , , , Pass, -110.647, 311.2, -400.0, 1086.2
, , , , , , , Pass, -115.946, 558.0, -217.0, 1300.0
, , , , , , , Fail, -106.931, 758.6, -16.4, 1300.0
, , , , , , , Fail, -48.442, 900.0, 214.2, 1300.0
, , , , , , , Pass, 534.33, 900.0, 500.0, 1300.0
, , , , , , , Pass, 545.204, 900.0, 500.0, 1300.0
, , , , , , , Pass, 531.032, 900.0, 500.0, 1300.0
Fail, VV_2_20_down_2, Reactive, 20.0, 3, 400.0, VV_2_20_down_2.csv, , , , , 
, , , , , , , Pass, 541.308, 900.0, 500.0, 1300.0
, , , , , , , Pass, 530.058, 900.0, 500.0, 1300.0
, , , , , , , Pass, 534.114, 900.0, 500.0, 1300.0
, , , , , , , Fail, -13.393, 900.0, 197.4, 1300.0
, , , , , , , Fail, -108.135, 744.7, -30.3, 1300.0
, , , , , , , Pass, -112.755, 544.5, -230.5, 1300.0
, , , , , , , Pass, -108.532, 298.5, -400.0, 1073.5
, , , , , , , Pass, -117.986, 87.7, -400.0, 862.7
, , , , , , , Pass, -108.728, 0.0, -400.0, 400.0
, , , , , , , Pass, -120.462, 0.0, -400.0, 400.0
, , , , , , , Pass, -116.975, 0.0, -400.0, 400.0
, , , , , , , Fail, -788.467, 0.0, -655.4, 400.0
, , , , , , , Pass, -785.275, -96.4, -871.4, 400.0
, , , , , , , Pass, -787.084, -306.4, -1081.4, 400.0
, , , , , , , Pass, -816.566, -530.6, -1300.0, 244.4
, , , , , , , Pass, -809.811, -758.2, -1300.0, 16.8
, , , , , , , Pass, -801.117, -900.0, -1300.0, -500.0
, , , , , , , Pass, -808.508, -900.0, -1300.0, -500.0
, , , , , , , Pass, -819.34, -900.0, -1300.0, -500.0
Fail, VV_2_20_up_2, Reactive, 20.0, 3, 400.0, VV_2_20_up_2.csv, , , , , 
, , , , , , , Pass, -819.925, -900.0, -1300.0, -500.0
, , , , , , , Pass, -802.74, -900.0, -1300.0, -500.0
, , , , , , , Pass, -819.459, -900.0, -1300.0, -500.0
, , , , , , , Pass, -799.872, -738.7, -1300.0, 36.3
, , , , , , , Pass, -793.076, -511.5, -1286.5, 263.5
, , , , , , , Pass, -802.08, -298.9, -1073.9, 400.0
, , , , , , , Pass, -809.611, -60.4, -835.4, 400.0
, , , , , , , Fail, -790.879, 0.0, -605.1, 400.0
, , , , , , , Pass, -117.231, 0.0, -400.0, 400.0
, , , , , , , Pass, -118.154, 0.0, -400.0, 400.0
, , , , , , , Pass, -112.379, 0.0, -400.0, 400.0
, , , , , , , Pass, -115.056, 107.6, -400.0, 882.6
, , , , , , , Pass, -105.887, 332.2, -400.0, 1107.2
, , , , , , , Pass, -114.86, 566.2, -208.8, 1300.0
, , , , , , , Fail, -107.739, 778.1, 3.1, 1300.0
, , , , , , , Fail, -12.638, 900.0, 215.4, 1300.0
, , , , , , , Pass, 536.393, 900.0, 500.0, 1300.0
, , , , , , , Pass, 537.657, 900.0, 500.0, 1300.0
, , , , , , , Pass, 540.425, 900.0, 500.0, 1300.0
Fail, VV_2_20_down_3, Reactive, 20.0, 3, 400.0, VV_2_20_down_3.csv, , , , , 
, , , , , , , Pass, 533.702, 900.0, 500.0, 1300.0
, , , , , , , Pass, 532.894, 900.0, 500.0, 1300.0
, , , , , , , Pass, 537.935, 900.0, 500.0, 1300.0
, , , , , , , Fail, -39.707, 900.0, 191.7, 1300.0
, , , , , , , Pass, -4.483, 755.2, -19.8, 1300.0
, , , , , , , Pass, -113.665, 529.5, -245.5, 1300.0
, , , , , , , Pass, -107.891, 319.1, -400.0, 1094.1
, , , , , , , Pass, -115.15, 80.6, -400.0, 855.6
, , , , , , , Pass, -111.6, 0.0, -400.0, 400.0
, , , , , , , Pass, -118.941, 0.0, -400.0, 400.0
, , , , , , , Pass, -116.401, 0.0, -400.0, 400.0
, , , , , , , Fail, -774.145, 0.0, -650.9, 400.0
, , , , , , , Pass, -789.486, -108.4, -883.4, 400.0
, , , , , , , Pass, -796.089, -318.0, -1093.0, 400.0
, , , , , , , Pass, -821.309, -540.0, -1300.0, 235.0
, , , , , , , Pass, -804.985, -777.4, -1300.0, -2.4
, , , , , , , Pass, -785.762, -900.0, -1300.0, -500.0
, , , , , , , Pass, -812.621, -900.0, -1300.0, -500.0
, , , , , , , Pass, -815.32, -900.0, -1300.0, -500.0
Fail, VV_2_20_up_3, Reactive, 20.0, 3, 400.0, VV_2_20_up_3.csv, , , , , 
